1.6	0	0.3161	0.578451
1.6	0.05	0.296933	0.578296
1.6	0.1	0.286988	0.565545
1.6	0.15	0.276294	0.558411
1.6	0.2	0.273399	0.545914
1.6	0.25	0.286648	0.540281
1.6	0.3	0.298192	0.539029
1.6	0.35	0.302799	0.579096
1.6	0.4	0.306579	0.670914
1.6	0.45	0.32398	1
1.6	0.5	0.344846	1
1.6	0.55	0.363932	0.9998
1.6	0.6	0.383935	0.999195
1.6	0.65	0.406089	0.999366
1.6	0.7	0.419366	0.99979
1.6	0.75	0.43522	0.998
1.6	0.8	0.453601	0.999194
1.6	0.85	0.477724	0.997726
1.6	0.9	0.496374	0.998685
1.6	0.95	0.5008	0.999802
1.6	1	0.5121	0.999872
1.8	0	0.288139	0.506011
1.8	0.05	0.277961	0.507127
1.8	0.1	0.27211	0.494475
1.8	0.15	0.26553	0.465484
1.8	0.2	0.267437	0.419252
1.8	0.25	0.279656	0.394116
1.8	0.3	0.296632	0.344377
1.8	0.35	0.307994	0.336731
1.8	0.4	0.314727	0.349756
1.8	0.45	0.319364	0.407459
1.8	0.5	0.317795	0.554268
1.8	0.55	0.327096	0.998045
1.8	0.6	0.347097	0.997488
1.8	0.65	0.366765	0.999095
1.8	0.7	0.396442	0.998791
1.8	0.75	0.412596	0.998203
1.8	0.8	0.443588	0.99876
1.8	0.85	0.466796	0.998582
1.8	0.9	0.484253	0.99707
1.8	0.95	0.496098	0.998533
1.8	1	0.51686	0.999203
